"Region","Year","Estimated Homicide Count","Estimated Homicide Count: Male","Estimated Homicide Count: Female","Estimate: Male 0-14 Count","Estimate: Male 15-29 Count","Estimate: Male 30-44 Count","Estimate: Male 45-59 Count","Estimate: Male 60 or more Count","Estimate: Female 0-14 Count","Estimate: Female 15-29 Count","Estimate: Female 30-44 Count","Estimate: Female 45-59 Count","Estimate: Female 60 or more Count","Estimated Homicide Count: Firearms","Estimated Homicide Count: Sharp Objects","Estimated Homicide Count: Other Mechanisms","Estimated Homicide Count: Unknown Mechanisms","lat","long"
"Africa",2005,119719.436399655,,,,,,,,,,,,,,,,,4,20
"Africa",2006,123466.974493728,,,,,,,,,,,,,,,,,4,20
"Africa",2007,125131.187876219,,,,,,,,,,,,,,,,,4,20
"Africa",2008,128164.357432336,,,,,,,,,,,,,,,,,4,20
"Africa",2009,130156.153441521,,,,,,,,,,,,,,,,,4,20
"Africa",2010,132477.458032001,,,,,,,,,,,,,,,,,4,20
"Africa",2011,136814.231302663,,,,,,,,,,,,,,,,,4,20
"Africa",2012,140823.55996994,,,,,,,,,,,,,,,,,4,20
"Africa",2013,144373.568122062,,,,,,,,,,,,,,,,,4,20
"Africa",2014,149328.676372179,,,,,,,,,,,,,,,,,4,20
"Africa",2015,152993.35463422,,,,,,,,,,,,,,,,,4,20
"Americas",2005,128606.78752433,114739.078586576,13867.7089377543,2014.67746299045,60030.2149937569,34300.021744753,12997.5507170211,5396.61366805426,1155.93695668788,5455.63013920454,4112.03992833156,1887.01346630725,1257.08844722307,91343.0052745991,19216.3489778193,11600.8763283996,6446.55694351196,17,-95
"Americas",2006,132636.149525916,118611.717259109,14024.4322668077,2085.82658669376,61853.8066953183,35483.3624907639,13531.2020107957,5657.51947553702,1147.49628339117,5485.40140499738,4064.35561686435,2073.94786762731,1253.23109392747,93707.689223312,18991.7911837834,11781.064091193,8155.60502762806,17,-95
"Americas",2007,131435.809936394,117628.595490237,13807.2144461567,1885.87547445922,60693.1496450003,35779.2514231494,13453.7715287115,5816.54741891672,1137.4441035258,5383.63146490071,4063.46470020214,1981.18273850897,1241.49143901909,93849.8170711977,19541.6543449822,10350.1410129323,7694.19750728174,17,-95
"Americas",2008,140058.069521025,125778.918247022,14279.151274003,1953.440642687,64648.1246450261,38788.3953112361,14696.5846017956,5692.37304627747,1143.2432517965,5524.95776535016,4170.15696083327,2140.83040612538,1299.96288989774,100227.846846677,20826.1442631077,11321.3361865264,7682.74222471452,17,-95
"Americas",2009,145191.04672877,129935.102451438,15255.944277332,2025.17605008284,66555.1191125097,40569.4515296117,15118.446467844,5666.90929138949,1193.97300006538,5954.78155734446,4453.25078276356,2263.73304632098,1390.20589083763,104025.126884685,21087.2849312202,12350.0158691469,7728.61904371755,17,-95
"Americas",2010,148166.988555778,132595.5363485,15571.4522072779,2035.69666297796,67446.2896123793,42113.6474001627,15357.603434852,5642.2992381279,1148.61396160146,6178.28101862815,4591.43434053445,2279.96798090193,1373.15490561192,107050.505128503,20742.7735506967,12548.6620547835,7825.04782179492,17,-95
"Americas",2011,156634.488350237,140040.379505313,16594.1088449235,2220.96799612435,70804.432000987,44499.0062033979,16311.3445500317,6204.62875477214,1137.19704488826,6664.26462034448,4824.55702011276,2490.52620179044,1477.56395778753,111575.426320638,22940.077431171,13823.8574953738,8295.12710305364,17,-95
"Americas",2012,160121.894684566,143214.752191025,16907.1424935405,2275.37677635508,73249.1951246804,44824.7936715073,16544.6932063869,6320.69341209576,1191.23885130891,6632.29260863912,5047.65954146489,2528.88345805355,1507.06803407403,113862.80340396,23195.0692214591,13995.2935795338,9068.72847961333,17,-95
"Americas",2013,155830.146415975,139375.193081632,16454.9533343438,2191.73107349752,71025.7058395935,43075.3776882403,16652.6017472785,6429.77673302172,1115.71856516557,6543.97436491167,4822.89481181088,2451.80979626884,1520.55579618686,110798.109803953,22855.7164016973,13550.4442451976,8625.87596512711,17,-95
"Americas",2014,157178.327233655,140615.903704315,16562.4235293408,2155.3775682543,72351.1564073203,43111.5467868158,16526.9932718437,6470.82967008037,1215.66887106295,6603.22515899007,4843.32654723815,2408.42888447216,1491.77406757746,111882.176181295,23221.7375974473,13215.272067371,8859.14138754252,17,-95
"Americas",2015,159479.655902554,142910.648321242,16569.0075813121,2141.3252085169,72744.2065176849,44147.962344818,17345.3043599694,6531.84989025234,1114.68898359595,6510.51979444155,4953.21570372616,2429.69691201878,1560.88618752971,113282.213212438,23300.2520355009,13701.9168205841,9195.27383403078,17,-95
"Americas",2016,165251.432363757,147738.535734671,17512.8966290859,1628.16013662117,76172.7395888509,44567.1748731312,19299.1238245576,6071.33731150999,1021.60154910588,6941.57302217558,5418.30371434706,2605.1596942913,1526.25864916604,117328.964890724,24273.0867699602,14135.1285632683,9514.25213980396,17,-95
"Americas",2017,173471.064492027,155179.185549902,18291.8789421244,1972.880117617,78843.4962720751,48217.0534540093,19509.3811757503,6636.37453045034,1119.22456224837,7202.09294067516,5613.38284087286,2743.97780010497,1613.20079822308,123797.652181068,24765.9643386934,14904.249211533,10003.1987607325,17,-95
"Asia",2005,115876.568739432,,,,,,,,,,,,,,,,,52,91
"Asia",2006,113658.204217424,81212.0623494492,32446.1418679744,,,,,,,,,,,,,,,52,91
"Asia",2007,111899.546557818,78217.1085126794,33682.4380451386,,,,,,,,,,,,,,,52,91
